park.key,park.name,city,state,country,Average Homeruns Per Game
ALB01,Riverside Park,Albany,NY,US,0.100233
ALT01,Columbia Park,Altoona,PA,US,
ANA01,Angel Stadium of Anaheim,Anaheim,CA,US,1.053498
ARL01,Arlington Stadium,Arlington,TX,US,0.791536
ARL02,Rangers Ballpark in Arlington,Arlington,TX,US,1.166573
ATL01,Atlanta-Fulton County Stadium,Atlanta,GA,US,0.878273
ATL02,Turner Field,Atlanta,GA,US,1.038913
ATL03,Suntrust Park,Atlanta,GA,US,1.018519
BAL01,Madison Avenue Grounds,Baltimore,MD,US,
BAL02,Newington Park,Baltimore,MD,US,0.115702
BAL03,Oriole Park I,Baltimore,MD,US,
BAL04,Belair Lot,Baltimore,MD,US,
BAL05,Monumental Park,Baltimore,MD,US,
BAL06,Oriole Park II,Baltimore,MD,US,
BAL07,Oriole Park III,Baltimore,MD,US,
BAL09,Oriole Park IV,Baltimore,MD,US,
BAL10,Terrapin Park,Baltimore,MD,US,
BAL11,Memorial Stadium,Baltimore,MD,US,0.878964
BAL12,Oriole Park at Camden Yards,Baltimore,MD,US,1.15392
BOS01,South End Grounds I,Boston,MA,US,0.214645
BOS02,Dartmouth Grounds,Boston,MA,US,
BOS03,South End Grounds II,Boston,MA,US,0.339782
BOS04,Congress Street Grounds,Boston,MA,US,0.374101
BOS05,South End Grounds III,Boston,MA,US,0.209412
BOS06,Huntington Avenue Baseball Grounds,Boston,MA,US,0.196375
BOS07,Fenway Park,Boston,MA,US,0.10828
BOS08,Braves Field,Boston,MA,US,0.381028
BUF01,Riverside Grounds,Buffalo,NY,US,
BUF02,Olympic Park I,Buffalo,NY,US,0.274336
BUF03,Olympic Park II,Buffalo,NY,US,
BUF04,International Fair Association Grounds,Buffalo,NY,US,
CAN01,Mahaffey Park,Canton,OH,US,
CAN02,Pastime Park,Canton,OH,US,
CHI01,Lake Front Park I,Chicago,IL,US,0.070064
CHI02,23rd Street Park,Chicago,IL,US,0.047244
CHI03,Lake Front Park II,Chicago,IL,US,0.738095
CHI05,South Side Park I,Chicago,IL,US,0.287105
CHI06,West Side Park,Chicago,IL,US,0.528351
CHI07,South Side Park II,Chicago,IL,US,0.076866
CHI08,West Side Grounds,Chicago,IL,US,0.212038
CHI09,South Side Park III,Chicago,IL,US,
CHI10,Comiskey Park I,Chicago,IL,US,0.49402
CHI11,Wrigley Field,Chicago,IL,US,0.773417
CHI12,U.S. Cellular Field,Chicago,IL,US,1.69066
CIN01,Lincoln Park Grounds,Cincinnati,OH,US,
CIN02,Avenue Grounds,Cincinnati,OH,US,0.086792
CIN03,Bank Street Grounds,Cincinnati,OH,US,0.176245
CIN04,League Park I,Cincinnati,OH,US,0.275449
CIN05,League Park II,Cincinnati,OH,US,0.214539
CIN06,Palace of the Fans,Cincinnati,OH,US,0.133812
CIN07,Crosley Field,Cincinnati,OH,US,0.533348
CIN08,Cinergy Field,Cincinnati,OH,US,1.061602
CIN09,Great American Ballpark,Cincinnati,OH,US,1.128342
CLE01,National Association Grounds,Cleveland,OH,US,0.137255
CLE02,League Park I,Cleveland,OH,US,0.150192
CLE03,League Park II,Cleveland,OH,US,
CLE04,Brotherhood Park,Cleveland,OH,US,
CLE05,League Park III,Cleveland,OH,US,
CLE06,League Park IV,Cleveland,OH,US,
CLE07,Cleveland Stadium,Cleveland,OH,US,0.836472
CLE08,Progressive Field,Cleveland,OH,US,1.017526
CLE09,Cedar Avenue Driving Park,Cleveland,OH,US,
CLL01,Euclid Beach Park,Collinwood,OH,US,
COL01,Recreation Park I,Columbus,OH,US,0.2657
COL02,Recreation Park II,Columbus,OH,US,0.172662
COL03,Neil Park I,Columbus,OH,US,
COL04,Neil Park II,Columbus,OH,US,
COV01,Star Baseball Park,Covington,KY,US,
DAY01,Fairview Park,Dayton,OH,US,
DEN01,Mile High Stadium,Denver,CO,US,0.956989
DEN02,Coors Field,Denver,CO,US,1.145592
DET01,Recreation Park,Detroit,MI,US,0.201082
DET02,Bennett Park,Detroit,MI,US,0.123561
DET03,Burns Park,Detroit,MI,US,
DET04,Tiger Stadium,Detroit,MI,US,1.034728
